"predicate","utterance_type","prior_condition","speaker_ci_low","speaker_ci_high","ah_ci_low","ah_ci_high","speaker_YMin","speaker_YMax","ah_YMin","ah_YMax","rating_type","rating_value","YMax","YMin"
"MC","pos","neutral",0.00765410628019325,0.00796183574879217,NA,NA,0.546027053140097,0.561642995169082,NA,NA,"mean_speaker_rating",0.55368115942029,0.561642995169082,0.546027053140097
"MC","pos","neutral",0.00765410628019325,0.00796183574879217,NA,NA,0.546027053140097,0.561642995169082,NA,NA,"mean_ah_rating",NA,NA,NA
"Polar","pos","high_prob",0.0210739130434783,0.0193050724637681,NA,NA,0.603302898550725,0.643681884057971,NA,NA,"mean_speaker_rating",0.624376811594203,0.643681884057971,0.603302898550725
"Polar","pos","high_prob",0.0210739130434783,0.0193050724637681,NA,NA,0.603302898550725,0.643681884057971,NA,NA,"mean_ah_rating",NA,NA,NA
"Polar","pos","low_prob",0.021781884057971,0.0229007246376812,NA,NA,0.338305072463768,0.38298768115942,NA,NA,"mean_speaker_rating",0.360086956521739,0.38298768115942,0.338305072463768
"Polar","pos","low_prob",0.021781884057971,0.0229007246376812,NA,NA,0.338305072463768,0.38298768115942,NA,NA,"mean_ah_rating",NA,NA,NA
"think","pos","high_prob",0.0281826086956522,0.0274528985507246,0.0201449275362319,0.0190471014492753,0.453788405797101,0.509423913043478,0.610840579710145,0.650032608695652,"mean_speaker_rating",0.481971014492754,0.509423913043478,0.453788405797101
"think","pos","high_prob",0.0281826086956522,0.0274528985507246,0.0201449275362319,0.0190471014492753,0.453788405797101,0.509423913043478,0.610840579710145,0.650032608695652,"mean_ah_rating",0.630985507246377,0.650032608695652,0.610840579710145
"think","pos","low_prob",0.0224101449275363,0.0236268115942029,0.0286130434782609,0.0292478260869565,0.208430434782609,0.254467391304348,0.441995652173913,0.49985652173913,"mean_speaker_rating",0.230840579710145,0.254467391304348,0.208430434782609
"think","pos","low_prob",0.0224101449275363,0.0236268115942029,0.0286130434782609,0.0292478260869565,0.208430434782609,0.254467391304348,0.441995652173913,0.49985652173913,"mean_ah_rating",0.470608695652174,0.49985652173913,0.441995652173913
"think","neg","high_prob",0.0268123188405796,0.0278369565217392,0.0225514492753623,0.023218115942029,0.621825362318841,0.67647463768116,0.425883333333333,0.471652898550725,"mean_speaker_rating",0.64863768115942,0.67647463768116,0.621825362318841
"think","neg","high_prob",0.0268123188405796,0.0278369565217392,0.0225514492753623,0.023218115942029,0.621825362318841,0.67647463768116,0.425883333333333,0.471652898550725,"mean_ah_rating",0.448434782608696,0.471652898550725,0.425883333333333
"think","neg","low_prob",0.0320376811594202,0.0316282608695652,0.0261826086956522,0.0255673913043478,0.447440579710145,0.51110652173913,0.339324637681159,0.391074637681159,"mean_speaker_rating",0.479478260869565,0.51110652173913,0.447440579710145
"think","neg","low_prob",0.0320376811594202,0.0316282608695652,0.0261826086956522,0.0255673913043478,0.447440579710145,0.51110652173913,0.339324637681159,0.391074637681159,"mean_ah_rating",0.365507246376812,0.391074637681159,0.339324637681159
"know","pos","high_prob",0.0172760869565216,0.014986231884058,0.0220021739130435,0.0239739130434783,0.873071739130435,0.905334057971015,0.467505072463768,0.51348115942029,"mean_speaker_rating",0.890347826086957,0.905334057971015,0.873071739130435
"know","pos","high_prob",0.0172760869565216,0.014986231884058,0.0220021739130435,0.0239739130434783,0.873071739130435,0.905334057971015,0.467505072463768,0.51348115942029,"mean_ah_rating",0.489507246376812,0.51348115942029,0.467505072463768
"know","pos","low_prob",0.0302608695652173,0.0315442028985509,0.0228253623188406,0.0225855072463768,0.739188405797101,0.80099347826087,0.32013115942029,0.365542028985507,"mean_speaker_rating",0.769449275362319,0.80099347826087,0.739188405797101
"know","pos","low_prob",0.0302608695652173,0.0315442028985509,0.0228253623188406,0.0225855072463768,0.739188405797101,0.80099347826087,0.32013115942029,0.365542028985507,"mean_ah_rating",0.34295652173913,0.365542028985507,0.32013115942029
"know","neg","high_prob",0.0264057971014492,0.0257739130434783,0.0216862318840579,0.0217985507246377,0.14904347826087,0.201223188405797,0.57553115942029,0.619015942028985,"mean_speaker_rating",0.175449275362319,0.201223188405797,0.14904347826087
"know","neg","high_prob",0.0264057971014492,0.0257739130434783,0.0216862318840579,0.0217985507246377,0.14904347826087,0.201223188405797,0.57553115942029,0.619015942028985,"mean_ah_rating",0.597217391304348,0.619015942028985,0.57553115942029
"know","neg","low_prob",0.0224398550724638,0.0241289855072464,0.0278565217391305,0.0277724637681159,0.119473188405797,0.166042028985507,0.443331884057971,0.498960869565217,"mean_speaker_rating",0.141913043478261,0.166042028985507,0.119473188405797
"know","neg","low_prob",0.0224398550724638,0.0241289855072464,0.0278565217391305,0.0277724637681159,0.119473188405797,0.166042028985507,0.443331884057971,0.498960869565217,"mean_ah_rating",0.471188405797101,0.498960869565217,0.443331884057971
"say","pos","high_prob",0.022386231884058,0.0213739130434782,0.0209869565217391,0.0202659420289855,0.556773188405797,0.600533333333333,0.682491304347826,0.723744202898551,"mean_speaker_rating",0.579159420289855,0.600533333333333,0.556773188405797
"say","pos","high_prob",0.022386231884058,0.0213739130434782,0.0209869565217391,0.0202659420289855,0.556773188405797,0.600533333333333,0.682491304347826,0.723744202898551,"mean_ah_rating",0.703478260869565,0.723744202898551,0.682491304347826
"say","pos","low_prob",0.0247253623188406,0.0265260869565217,0.0277978260869565,0.0284420289855073,0.317854347826087,0.369105797101449,0.514926811594203,0.571166666666667,"mean_speaker_rating",0.342579710144928,0.369105797101449,0.317854347826087
"say","pos","low_prob",0.0247253623188406,0.0265260869565217,0.0277978260869565,0.0284420289855073,0.317854347826087,0.369105797101449,0.514926811594203,0.571166666666667,"mean_ah_rating",0.542724637681159,0.571166666666667,0.514926811594203
"say","neg","high_prob",0.026468115942029,0.0234847826086957,0.0233666666666666,0.026522463768116,0.513763768115942,0.563716666666667,0.34234347826087,0.392232608695652,"mean_speaker_rating",0.540231884057971,0.563716666666667,0.513763768115942
"say","neg","high_prob",0.026468115942029,0.0234847826086957,0.0233666666666666,0.026522463768116,0.513763768115942,0.563716666666667,0.34234347826087,0.392232608695652,"mean_ah_rating",0.365710144927536,0.392232608695652,0.34234347826087
"say","neg","low_prob",0.0281507246376812,0.026436231884058,0.0253927536231884,0.0253666666666666,0.355907246376812,0.410494202898551,0.261882608695652,0.312642028985507,"mean_speaker_rating",0.384057971014493,0.410494202898551,0.355907246376812
"say","neg","low_prob",0.0281507246376812,0.026436231884058,0.0253927536231884,0.0253666666666666,0.355907246376812,0.410494202898551,0.261882608695652,0.312642028985507,"mean_ah_rating",0.287275362318841,0.312642028985507,0.261882608695652
"inform","pos","high_prob",0.0196990881458967,0.019154255319149,0.0227066869300913,0.0233738601823708,0.843340425531915,0.88219376899696,0.770424012158055,0.816504559270517,"mean_speaker_rating",0.863039513677812,0.88219376899696,0.843340425531915
"inform","pos","high_prob",0.0196990881458967,0.019154255319149,0.0227066869300913,0.0233738601823708,0.843340425531915,0.88219376899696,0.770424012158055,0.816504559270517,"mean_ah_rating",0.793130699088146,0.816504559270517,0.770424012158055
"inform","pos","low_prob",0.032199548192771,0.0329871987951807,0.0338975903614458,0.0326513554216867,0.662318524096386,0.727505271084337,0.632457831325301,0.699006777108434,"mean_speaker_rating",0.694518072289157,0.727505271084337,0.662318524096386
"inform","pos","low_prob",0.032199548192771,0.0329871987951807,0.0338975903614458,0.0326513554216867,0.662318524096386,0.727505271084337,0.632457831325301,0.699006777108434,"mean_ah_rating",0.666355421686747,0.699006777108434,0.632457831325301
"inform","neg","high_prob",0.0314789855072464,0.0301746376811594,0.0302615942028986,0.0291108695652174,0.216173188405797,0.277826811594203,0.274955797101449,0.334328260869565,"mean_speaker_rating",0.247652173913043,0.277826811594203,0.216173188405797
"inform","neg","high_prob",0.0314789855072464,0.0301746376811594,0.0302615942028986,0.0291108695652174,0.216173188405797,0.277826811594203,0.274955797101449,0.334328260869565,"mean_ah_rating",0.305217391304348,0.334328260869565,0.274955797101449
"inform","neg","low_prob",0.02235,0.0244115942028985,0.0246753623188406,0.0261463768115942,0.134954347826087,0.181715942028985,0.205005797101449,0.255827536231884,"mean_speaker_rating",0.157304347826087,0.181715942028985,0.134954347826087
"inform","neg","low_prob",0.02235,0.0244115942028985,0.0246753623188406,0.0261463768115942,0.134954347826087,0.181715942028985,0.205005797101449,0.255827536231884,"mean_ah_rating",0.22968115942029,0.255827536231884,0.205005797101449
