belief_states,predicate,utterance_type,utterance,prob
"<p, p>",Polar,p,Polar,0.041666
"<p, p>",know,p,"""know p""",0.416666
"<p, p>",know,not p,"""know not p""",0.125
"<p, p>",think,p,"""think p""",0.25
"<p, p>",think,not p,"""think not p""",0.16666
"<p, not p>",Polar,p,Polar,0.038461
"<p, not p>",know,p,"""know p""",0.53846
"<p, not p>",know,not p,"""know not p""",0.15384
"<p, not p>",think,p,"""think p""",0.076923
"<p, not p>",think,not p,"""think not p""",0.1923
"<not p, p>",Polar,p,Polar,0.0285
"<not p, p>",know,p,"""know p""",0.0571
"<not p, p>",know,not p,"""know not p""",0.45714
"<not p, p>",think,p,"""think p""",0.2857
"<not p, p>",think,not p,"""think not p""",0.1714
"<not p, not p>",Polar,p,Polar,0.03571
"<not p, not p>",know,p,"""know p""",0.1071
"<not p, not p>",know,not p,"""know not p""",0.357142
"<not p, not p>",think,p,"""think p""",0.2857
"<not p, not p>",think,not p,"""think not p""",0.214285
"<p, >",Polar,p,Polar,0.8
"<p, >",know,p,"""know p""",0.05
"<p, >",know,not p,"""know not p""",0.05
"<p, >",think,p,"""think p""",0.05
"<p, >",think,not p,"""think not p""",0.05
"<not p, >",Polar,p,Polar,0.9
"<not p, >",know,p,"""know p""",0.025
"<not p, >",know,not p,"""know not p""",0.025
"<not p, >",think,p,"""think p""",0.025
"<not p, >",think,not p,"""think not p""",0.025