belief_states,predicate,utterance_type,utterance,prob,
"<p, p>",Polar,p,Polar,0.041666,
"<p, p>",know,p,"""know p""",0.416666,
"<p, p>",know,not p,"""know not p""",0.125,
"<p, p>",think,p,"""think p""",0.25,
"<p, p>",think,not p,"""think not p""",0.16666,
"<p, not p>",Polar,p,Polar,0.038461,
"<p, not p>",know,p,"""know p""",0.53846,
"<p, not p>",know,not p,"""know not p""",0.15384,
"<p, not p>",think,p,"""think p""",0.076923,
"<p, not p>",think,not p,"""think not p""",0.1923,
"<not p, p>",Polar,p,Polar,0.0285,
"<not p, p>",know,p,"""know p""",0.0571,
"<not p, p>",know,not p,"""know not p""",0.45714,
"<not p, p>",think,p,"""think p""",0.2857,
"<not p, p>",think,not p,"""think not p""",0.1714,
"<not p, not p>",Polar,p,Polar,0.03571,
"<not p, not p>",know,p,"""know p""",0.1071,
"<not p, not p>",know,not p,"""know not p""",0.357142,
"<not p, not p>",think,p,"""think p""",0.2857,
"<not p, not p>",think,not p,"""think not p""",0.214285,
"<p,  >",Polar,p,Polar,0.46153,
"<p, >",know,p,"""know p""",0.153846,
"<p, >",know,not p,"""know not p""",0.153846,
"<p, >",think,p,"""think p""",0.07692,
"<p, >",think,not p,"""think not p""",0.153846,
"<not p, >",Polar,p,Polar,0.5599999,
"<not p, >",know,p,"""know p""",0.079999999,
"<not p, >",know,not p,"""know not p""",0.12,
"<not p, >",think,p,"""think p""",0.16,
"<not p, >",think,not p,"""think not p""",0.08,