item_condition,prior_rating
Frank_L,0.16965035
Josie_L,0.117286822
Emily_H,0.561555556
Julian_L,0.401796875
Grace_H,0.790144928
Jayden_L,0.1756
Danny_H,0.697062937
Owen_H,0.746482759
Jon_H,0.7559375
Josh_H,0.544575163
Emma_H,0.680763889
Jackson_H,0.774965035
Tony_L,0.2196
Zoe_L,0.192108844
Olivia_L,0.210592105
Charley_H,0.804632353
Mary_L,0.22540146
Isabella_L,0.125813953
Mary_H,0.815167785
Emily_L,0.151655629
Josie_H,0.73343949
Tony_H,0.747279412
Zoe_H,0.745971223
Danny_L,0.27993007
Owen_L,0.279503546
Josh_L,0.236917293
Jayden_H,0.687794118
Charley_L,0.277066667
Frank_H,0.67972028
Jon_L,0.235696203
Grace_L,0.24777027
Julian_H,0.599493671
Jackson_L,0.186013986
Emma_L,0.323098592
Isabella_H,0.517707006
Olivia_H,0.664776119
Mia_L,0.22490196
Mia_H,0.579022556
Sophia_H,0.634248366
Sophia_L,0.415413534